STNAME_SH,Overall Vulnerability Index,Rank
Assam,0.616,1
Andhra Pradesh,0.483,2
Maharashtra,0.478,3
Karnataka,0.465,4
Bihar,0.448,5
Manipur,0.424,6
Rajasthan,0.423,7
Arunachal Pradesh,0.408,8
Sikkim,0.37,9
Odisha,0.368,10
Nagaland,0.365,11
Tamil Nadu,0.339,12
Himachal Pradesh,0.329,13
Jammu & Kashmir,0.328,14
Delhi,0.29,15
Gujarat,0.28,16
Uttar Pradesh,0.269,17
West Bengal,0.257,18
Tripura,0.25,19
Kerala,0.226,20
Uttarakhand,0.19,21
Madhya Pradesh,0.182,22
Puducherry,0.175,23
Haryana,0.116,24
Goa,0.101,25
Chhattisgarh,0.087,26
Jharkhand,0.067,27
Andaman & Nicobar,0,28
Dadra & Nagar Haveli,0,28
Daman & Diu,0,28
Ladakh,0,28
Lakshadweep,0,28
Meghalaya,0,28
Mizoram ,0,28
Punjab,0,28
Chandigarh,0,0
Telangana,0,0